,Series reference,Period,Description,Revised,Initially published
0,2019.09,PPIQ.SQN800000,"""All industries excl admin health educati"," Inputs Indexes (Level 0)""",1167
1,2019.12,PPIQ.SQN800000,"""All industries excl admin health educati"," Inputs Indexes (Level 0)""",1170
2,2019.09,PPIQ.SQN800001,"""All industries ex admin health edu OOD"," Inputs Indexes (Level 0)""",1167
3,2019.12,PPIQ.SQN800001,"""All industries ex admin health edu OOD"," Inputs Indexes (Level 0)""",1170
4,2019.09,PPIQ.SQN900000,"""All industries"," Inputs Indexes (Level 0)""",1166
5,2019.12,PPIQ.SQN900000,"""All industries"," Inputs Indexes (Level 0)""",1169
6,2019.09,PPIQ.SQN900001,"""All industries excl OOD"," Inputs Indexes (Level 0)""",1166
7,2019.12,PPIQ.SQN900001,"""All industries excl OOD"," Inputs Indexes (Level 0)""",1169
8,2019.12,PPIQ.SQNAA0000,"""Agriculture", Forestry and Fishing," Inputs Indexes (Level 1)"""
9,2019.12,PPIQ.SQNAA2000,"""Forestry and Logging"," Inputs Indexes (Level 2)""",1217
10,2019.12,PPIQ.SQNAA2100,"""Forestry and Logging"," Inputs Indexes (Level 3)""",1217
11,2019.12,PPIQ.SQNAA211X,"""Forestry and Logging"," Inputs Indexes (Level 4)""",1217
12,2019.09,PPIQ.SQNCC0000,"""Manufacturing"," Inputs Indexes (Level 1)""",1154
13,2019.12,PPIQ.SQNCC0000,"""Manufacturing"," Inputs Indexes (Level 1)""",1162
14,2019.09,PPIQ.SQNCC1000,"""Food", Beverage and Tobacco Product Manuf," Inputs Indexes (Level 2)"""
15,2019.12,PPIQ.SQNCC1000,"""Food", Beverage and Tobacco Product Manuf," Inputs Indexes (Level 2)"""
16,2019.09,PPIQ.SQNCC1300,"""Dairy Product Manufacturing"," Inputs Indexes (Level 3)""",1131
17,2019.12,PPIQ.SQNCC1300,"""Dairy Product Manufacturing"," Inputs Indexes (Level 3)""",1162
18,2019.09,PPIQ.SQNCC131X,"""Dairy Product Manufacturing"," Inputs Indexes (Level 4)""",1131
19,2019.12,PPIQ.SQNCC131X,"""Dairy Product Manufacturing"," Inputs Indexes (Level 4)""",1162
20,2019.12,PPIQ.SQNCC1400,"""Fruit", Oil, Cereal and Other Food Produc
21,2019.12,PPIQ.SQNCC141X,"""Fruit", Oil, Cereal and Other Food Product Manufact
22,2019.12,PPIQ.SQNCC3000,"""Wood and Paper Products Manufacturing"," Inputs Indexes (Level 2)""",1150
23,2019.12,PPIQ.SQNCC3100,"""Wood Product Manufacturing"," Inputs Indexes (Level 3)""",1179
24,2019.12,PPIQ.SQNCC311X,"""Wood Product Manufacturing"," Inputs Indexes (Level 4)""",1179
25,2019.12,PPIQ.SQNCC3200,"""Pulp", Paper and Converted Paper Product," Inputs Indexes (Level 3)"""
26,2019.12,PPIQ.SQNCC321X,"""Pulp", Paper and Converted Paper Product Manufactur," Inputs Indexes (Level 4)"""
27,2019.09,PPIQ.SQU900000,"""All industries"," Outputs Indexes (Level 0)""",1179
28,2019.12,PPIQ.SQU900000,"""All industries"," Outputs Indexes (Level 0)""",1185
29,2019.09,PPIQ.SQU900001,"""All industries excl OOD"," Outputs Indexes (Level 0)""",1178
30,2019.12,PPIQ.SQU900001,"""All industries excl OOD"," Outputs Indexes (Level 0)""",1184
31,2019.09,PPIQ.SQUAA0000,"""Agriculture", Forestry and Fishing," Outputs Indexes (Level 1)"""
32,2019.12,PPIQ.SQUAA0000,"""Agriculture", Forestry and Fishing," Outputs Indexes (Level 1)"""
33,2019.09,PPIQ.SQUAA1000,"""Agriculture"," Outputs Indexes (Level 2)""",1298
34,2019.12,PPIQ.SQUAA1000,"""Agriculture"," Outputs Indexes (Level 2)""",1336
35,2019.09,PPIQ.SQUAA1100,"""Horticulture and Fruit Growing"," Outputs Indexes (Level 3)""",1251
